"categories_id","categories_raw_name"
,
"a3c2d510-35a2-11ec-ba41-b0fc3626dcfb","animals & meat"
"a4f4ab1b-35a2-11ec-ba41-b0fc3626dcfb","batteries and accumulators"
"a7565d71-35a2-11ec-ba41-b0fc3626dcfb","building materials"
"a291deb8-35a2-11ec-ba41-b0fc3626dcfb","buildings & facilities"
"a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"b8067a92-35a2-11ec-ba41-b0fc3626dcfb","coal"
"a8874959-35a2-11ec-ba41-b0fc3626dcfb","coke oven products"
"b5a477f9-35a2-11ec-ba41-b0fc3626dcfb","containers and tanks"
"a291ded7-35a2-11ec-ba41-b0fc3626dcfb","crops"
"a625802a-35a2-11ec-ba41-b0fc3626dcfb","dairy"
"a291dee1-35a2-11ec-ba41-b0fc3626dcfb","detergents"
"a8874956-35a2-11ec-ba41-b0fc3626dcfb","domestic appliances"
"a291df00-35a2-11ec-ba41-b0fc3626dcfb","electrical equipment"
"a4f4ab9d-35a2-11ec-ba41-b0fc3626dcfb","electricity"
"a8874961-35a2-11ec-ba41-b0fc3626dcfb","electricity production: utilities"
"a8874a10-35a2-11ec-ba41-b0fc3626dcfb","engines and turbines"
"a3c2d5ad-35a2-11ec-ba41-b0fc3626dcfb","feed"
"bccb2e36-35a2-11ec-ba41-b0fc3626dcfb","fertiliser"
"a291deef-35a2-11ec-ba41-b0fc3626dcfb","foodstuffs"
"a4f4ab88-35a2-11ec-ba41-b0fc3626dcfb","fuels from biomass"
"a291df1c-35a2-11ec-ba41-b0fc3626dcfb","furnaces and boilers"
"b6d5dc42-35a2-11ec-ba41-b0fc3626dcfb","furniture"
"a4f4abc0-35a2-11ec-ba41-b0fc3626dcfb","gas"
"a3c2d547-35a2-11ec-ba41-b0fc3626dcfb","glass"
"a4f4ab9e-35a2-11ec-ba41-b0fc3626dcfb","heat"
"a7565e02-35a2-11ec-ba41-b0fc3626dcfb","land tenure"
"a291de69-35a2-11ec-ba41-b0fc3626dcfb","machinery"
"c05f5902-35a2-11ec-ba41-b0fc3626dcfb","materials recovery"
"a291def6-35a2-11ec-ba41-b0fc3626dcfb","metals (non-ferrous)"
"a291df08-35a2-11ec-ba41-b0fc3626dcfb","metalworking"
"a291de9c-35a2-11ec-ba41-b0fc3626dcfb","mineral products"
"a3c2d560-35a2-11ec-ba41-b0fc3626dcfb","mining and quarrying"
"bf2e0380-35a2-11ec-ba41-b0fc3626dcfb","motor vehicles maintenance and repair"
"c523be79-35a2-11ec-ba41-b0fc3626dcfb","nuclear fuels"
"bccb2ee6-35a2-11ec-ba41-b0fc3626dcfb","office support"
"a8874944-35a2-11ec-ba41-b0fc3626dcfb","oils and fats"
"a3c2d596-35a2-11ec-ba41-b0fc3626dcfb","ores"
"a4f4ab85-35a2-11ec-ba41-b0fc3626dcfb","packaging"
"cb199845-35a2-11ec-ba41-b0fc3626dcfb","packaging activities"
"a291de8c-35a2-11ec-ba41-b0fc3626dcfb","paints and inks"
"c9e87fde-35a2-11ec-ba41-b0fc3626dcfb","peat"
"bccb2e31-35a2-11ec-ba41-b0fc3626dcfb","petroleum and natural gas extraction support activities"
"a3c2d5c7-35a2-11ec-ba41-b0fc3626dcfb","petroleum and natural gas products"
"a4f4abd3-35a2-11ec-ba41-b0fc3626dcfb","plastic and polymer manufacturing"
"a291de7b-35a2-11ec-ba41-b0fc3626dcfb","plastics and polymers"
"b5a47738-35a2-11ec-ba41-b0fc3626dcfb","plumbing, heat and air-conditioning installation"
"a3c2d57c-35a2-11ec-ba41-b0fc3626dcfb","post-harvest crop activities"
"a7565d7b-35a2-11ec-ba41-b0fc3626dcfb","pulp and paper"
"a291df39-35a2-11ec-ba41-b0fc3626dcfb","refractory products"
"bf2e037b-35a2-11ec-ba41-b0fc3626dcfb","repair and maintainance"
"cc4aa82f-35a2-11ec-ba41-b0fc3626dcfb","roads and railways"
"a3c2d567-35a2-11ec-ba41-b0fc3626dcfb","services"
"cc4aa831-35a2-11ec-ba41-b0fc3626dcfb","sewerage"
"b6d5dbc1-35a2-11ec-ba41-b0fc3626dcfb","shipping equipment"
"a3c2d592-35a2-11ec-ba41-b0fc3626dcfb","ships and floating structures"
"b5a477e9-35a2-11ec-ba41-b0fc3626dcfb","site preparation"
"b6d5dbb0-35a2-11ec-ba41-b0fc3626dcfb","solar collectors"
"a3c2d4ed-35a2-11ec-ba41-b0fc3626dcfb","steam"
"a625809f-35a2-11ec-ba41-b0fc3626dcfb","steel and iron"
"a3c2d551-35a2-11ec-ba41-b0fc3626dcfb","support for crop production"
"a4f4ab16-35a2-11ec-ba41-b0fc3626dcfb","textile manufacturing"
"b6d5db55-35a2-11ec-ba41-b0fc3626dcfb","textiles"
"cead2010-35a2-11ec-ba41-b0fc3626dcfb","transport"
"cead20a0-35a2-11ec-ba41-b0fc3626dcfb","transport of passengers"
"a291dec9-35a2-11ec-ba41-b0fc3626dcfb","vehicles"
"a3c2d4b4-35a2-11ec-ba41-b0fc3626dcfb","waste management"
"cc4aa938-35a2-11ec-ba41-b0fc3626dcfb","water"
"bccb2e62-35a2-11ec-ba41-b0fc3626dcfb","water infrastructure utilities"
"bccb2e53-35a2-11ec-ba41-b0fc3626dcfb","wired telecommunications activities"
"a3c2d582-35a2-11ec-ba41-b0fc3626dcfb","wood products"
"a88748c2-35a2-11ec-ba41-b0fc3626dcfb","woodworking and forestry"
