"units_id","units_raw_name"
"fd55f2a5-8806-4525-80dd-c1f8e015ce84","cubic meter"
"5cdf6f0a-2f79-491e-a774-ab236b971c82","cubic meter-year"
"6f9f4309-6e90-4130-b741-83031d7a8ae7","EUR"
"b80beb79-36c8-4c9e-99d0-6531a8162977","EUR2005"
"771c33c2-8aec-48c1-8aa8-58601df23702","guest night"
"73ae591e-a224-485f-b9ed-a5df1f2fd63f","hectare"
"26b691fe-9597-4a83-a6fd-ddba7216276e","hour"
"84b74167-bf94-462a-b11c-d73aec5c014a","kg*day"
"80e832f8-b1cd-4a41-9c04-594f836559a0","kilo Becquerel"
"75a603f6-cab3-4821-86a3-3210ca5e988e","kilogram"
"893323a5-073c-4acb-8453-9a88473d3387","kilometer"
"50f8cc97-42bf-4896-9233-e34b26638eb9","kilometer-year"
"95c4d019-e2da-48d5-a2c4-7f331bcf69ee","kilowatt hour"
"1c0728d0-0812-43c5-814f-1d91175ab883","litre"
"d76b40fe-6fd7-47ec-8325-8b77a4f0b1b9","megajoule"
"8783298b-28ec-4bb1-8c7c-b65c2685753c","meter"
"5ad8c6ff-d04e-44b6-bea8-ee2b5a1c7bbe","meter-year"
"4efa4b09-40d4-49f7-b227-f110ff277949","person kilometer"
"99225b0b-bde9-4bc8-9146-2f6a5d19c93d","Sm3"
"bb950d76-ffda-4fbf-94cf-89047de4f50f","square meter"
"7af84578-0241-4afa-8fe2-70c009403fe6","square meter-year"
"9b8f2501-52e6-40b8-b969-3ce7dd670285","ton kilometer"
"4d00c3e9-44ab-4fa0-be63-8f23bf7ce9f9","unit"
